kernel,size,impl,input_desc,latency_ms,peak_memory_mb
conv2d,small,triton,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.1186,10103.18
conv2d,small,triton_tuned,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.1195,10094.25
conv2d,small,tilelang,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.7255,10175.18
conv2d,small,tilelang_tuned,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.7267,10175.18
conv2d,large,pytorch,"x:(32,256,128,128) w:(256,256,3,3) fp16",10.9569,10869.31
conv2d,large,triton,"x:(32,256,128,128) w:(256,256,3,3) fp16",30.3002,10355.31
conv2d,large,triton_tuned,"x:(32,256,128,128) w:(256,256,3,3) fp16",31.3701,10347.18
conv2d,large,tilelang,"x:(32,256,128,128) w:(256,256,3,3) fp16",115.7389,17003.18
conv2d,large,tilelang_tuned,"x:(32,256,128,128) w:(256,256,3,3) fp16",115.7057,17003.18
cross_entropy,small,pytorch,"logits:(256,1024) fp32",129.6211,10102.33
cross_entropy,small,triton,"logits:(256,1024) fp32",0.0292,10102.31
cross_entropy,small,triton_tuned,"logits:(256,1024) fp32",0.0296,10094.18
cross_entropy,small,tilelang,"logits:(256,1024) fp32",0.0909,10094.19
cross_entropy,small,tilelang_tuned,"logits:(256,1024) fp32",0.0921,10094.19
cross_entropy,large,pytorch,"logits:(4096,32768) fp32",15908.4856,11636.83
cross_entropy,large,triton,"logits:(4096,32768) fp32",1.8684,11635.31
cross_entropy,large,triton_tuned,"logits:(4096,32768) fp32",1.8676,11627.18
cross_entropy,large,tilelang,"logits:(4096,32768) fp32",27.7739,11627.2
cross_entropy,large,tilelang_tuned,"logits:(4096,32768) fp32",28.1783,11627.2
embedding,small,pytorch,"w:(8192,256) idx:(2048,) fp16",0.0464,10102.33
embedding,small,triton,"w:(8192,256) idx:(2048,) fp16",0.0266,10099.31
embedding,small,triton_tuned,"w:(8192,256) idx:(2048,) fp16",0.0271,10091.18
embedding,small,tilelang,"w:(8192,256) idx:(2048,) fp16",0.071,10102.2
embedding,small,tilelang_tuned,"w:(8192,256) idx:(2048,) fp16",0.0718,10102.2
embedding,large,pytorch,"w:(131072,1024) idx:(131072,) fp16",6.9291,10868.43
embedding,large,triton,"w:(131072,1024) idx:(131072,) fp16",1.7069,10099.31
embedding,large,triton_tuned,"w:(131072,1024) idx:(131072,) fp16",1.7073,10091.18
embedding,large,tilelang,"w:(131072,1024) idx:(131072,) fp16",11.9738,11372.31
embedding,large,tilelang_tuned,"w:(131072,1024) idx:(131072,) fp16",11.969,11372.31
index_select,small,pytorch,"src:(4096,512) idx:(256,) fp16",0.0141,10099.56
index_select,small,triton,"src:(4096,512) idx:(256,) fp16",0.0253,10099.56
index_select,small,triton_tuned,"src:(4096,512) idx:(256,) fp16",0.0255,10091.43
index_select,small,tilelang,"src:(4096,512) idx:(256,) fp16",0.0309,10091.43
index_select,small,tilelang_tuned,"src:(4096,512) idx:(256,) fp16",0.0315,10091.43
index_select,large,pytorch,"src:(65536,2048) idx:(4096,) fp16",0.1241,10115.31
index_select,large,triton,"src:(65536,2048) idx:(4096,) fp16",0.1471,10115.31
index_select,large,triton_tuned,"src:(65536,2048) idx:(4096,) fp16",0.1456,10107.18
index_select,large,tilelang,"src:(65536,2048) idx:(4096,) fp16",0.1275,10107.2
index_select,large,tilelang_tuned,"src:(65536,2048) idx:(4096,) fp16",0.1277,10107.2
layer_norm,small,pytorch,"x:(512,1024) bf16",0.0123,10100.31
layer_norm,small,triton,"x:(512,1024) bf16",0.0445,10100.31
layer_norm,small,triton_tuned,"x:(512,1024) bf16",0.0435,10092.19
layer_norm,small,tilelang,"x:(512,1024) bf16",2.1802,10096.19
layer_norm,small,tilelang_tuned,"x:(512,1024) bf16",2.1728,10096.19
layer_norm,large,pytorch,"x:(8192,8192) bf16",0.8701,10227.37
layer_norm,large,triton,"x:(8192,8192) bf16",0.9205,10227.37
layer_norm,large,triton_tuned,"x:(8192,8192) bf16",0.9203,10219.25
layer_norm,large,tilelang,"x:(8192,8192) bf16",273.2857,10731.25
layer_norm,large,tilelang_tuned,"x:(8192,8192) bf16",273.2961,10731.25
leaky_relu,small,pytorch,"a:(4096,4096) b:(4096,4096) fp16",9.1724,10291.31
leaky_relu,small,triton,"a:(4096,4096) b:(4096,4096) fp16",3.4758,10131.31
leaky_relu,small,triton_tuned,"a:(4096,4096) b:(4096,4096) fp16",3.5519,10123.18
leaky_relu,small,tilelang,"a:(4096,4096) b:(4096,4096) fp16",2.5238,10123.18
leaky_relu,small,tilelang_tuned,"a:(4096,4096) b:(4096,4096) fp16",2.5383,10123.18
leaky_relu,large,pytorch,"a:(8192,8192) b:(8192,8192) fp16",72.0368,10867.31
leaky_relu,large,triton,"a:(8192,8192) b:(8192,8192) fp16",29.4642,10227.31
leaky_relu,large,triton_tuned,"a:(8192,8192) b:(8192,8192) fp16",30.0035,10219.18
leaky_relu,large,tilelang,"a:(8192,8192) b:(8192,8192) fp16",19.6742,10219.18
leaky_relu,large,tilelang_tuned,"a:(8192,8192) b:(8192,8192) fp16",19.7416,10219.18
linear_activation,small,pytorch,"x:(1,256,1024) w1/w3:(4096,1024) fp16",0.5568,10125.81
linear_activation,small,triton,"x:(1,256,1024) w1/w3:(4096,1024) fp16",0.1621,10101.31
linear_activation,small,triton_tuned,"x:(1,256,1024) w1/w3:(4096,1024) fp16",0.1847,10093.18
linear_activation,small,tilelang,"x:(1,256,1024) w1/w3:(4096,1024) fp16",0.4421,10128.69
linear_activation,small,tilelang_tuned,"x:(1,256,1024) w1/w3:(4096,1024) fp16",0.4412,10128.69
linear_activation,large,pytorch,"x:(1,2048,4096) w1/w3:(16384,4096) fp16",46.7182,10691.32
linear_activation,large,triton,"x:(1,2048,4096) w1/w3:(16384,4096) fp16",89.9509,10163.31
linear_activation,large,triton_tuned,"x:(1,2048,4096) w1/w3:(16384,4096) fp16",89.9408,10155.18
linear_activation,large,tilelang,"x:(1,2048,4096) w1/w3:(16384,4096) fp16",23.4404,11035.2
linear_activation,large,tilelang_tuned,"x:(1,2048,4096) w1/w3:(16384,4096) fp16",23.3988,11035.2
log_softmax,small,pytorch,"x:(512,1024) fp16",0.009,10100.31
log_softmax,small,triton,"x:(512,1024) fp16",0.041,10100.31
log_softmax,small,triton_tuned,"x:(512,1024) fp16",0.0387,10092.18
log_softmax,small,tilelang,"x:(512,1024) fp16",0.0355,10096.18
log_softmax,small,tilelang_tuned,"x:(512,1024) fp16",0.0355,10096.18
log_softmax,large,pytorch,"x:(4096,32768) fp16",1.7575,10355.31
log_softmax,large,triton,"x:(4096,32768) fp16",2.3005,10355.31
log_softmax,large,triton_tuned,"x:(4096,32768) fp16",2.3074,10347.18
log_softmax,large,tilelang,"x:(4096,32768) fp16",10.3774,11371.18
log_softmax,large,tilelang_tuned,"x:(4096,32768) fp16",10.3796,11371.18
logsumexp,small,pytorch,"x:(512,1024) fp32",0.0349,10101.31
logsumexp,small,triton,"x:(512,1024) fp32",0.0642,10099.32
logsumexp,small,triton_tuned,"x:(512,1024) fp32",0.0647,10091.19
logsumexp,small,tilelang,"x:(512,1024) fp32",0.0236,10091.19
logsumexp,small,tilelang_tuned,"x:(512,1024) fp32",0.0235,10091.19
logsumexp,large,pytorch,"x:(8192,16384) fp32",10.2512,10611.37
logsumexp,large,triton,"x:(8192,16384) fp32",1.652,10099.43
logsumexp,large,triton_tuned,"x:(8192,16384) fp32",1.6535,10091.31
logsumexp,large,tilelang,"x:(8192,16384) fp32",1.8658,10091.21
logsumexp,large,tilelang_tuned,"x:(8192,16384) fp32",1.8289,10091.21
matmul,small,pytorch,"A:(512,512) B:(512,512) fp16",0.0143,10099.81
matmul,small,triton,"A:(512,512) B:(512,512) fp16",0.0283,10099.81
matmul,small,triton_tuned,"A:(512,512) B:(512,512) fp16",0.0289,10091.68
matmul,small,tilelang,"A:(512,512) B:(512,512) fp16",0.0267,10091.68
matmul,small,tilelang_tuned,"A:(512,512) B:(512,512) fp16",0.027,10091.68
matmul,large,pytorch,"A:(16384,16384) B:(16384,16384) fp16",114.7105,10611.31
matmul,large,triton,"A:(16384,16384) B:(16384,16384) fp16",361.8119,10611.31
matmul,large,triton_tuned,"A:(16384,16384) B:(16384,16384) fp16",361.8972,10603.18
matmul,large,tilelang,"A:(16384,16384) B:(16384,16384) fp16",201.4772,10603.18
matmul,large,tilelang_tuned,"A:(16384,16384) B:(16384,16384) fp16",203.2649,10603.18
matrix_transpose,small,pytorch,"x:(1024,1024) fp16",0.0294,10101.31
matrix_transpose,small,triton,"x:(1024,1024) fp16",0.0222,10101.31
matrix_transpose,small,triton_tuned,"x:(1024,1024) fp16",0.0231,10093.18
matrix_transpose,small,tilelang,"x:(1024,1024) fp16",0.0256,10093.18
matrix_transpose,small,tilelang_tuned,"x:(1024,1024) fp16",0.0249,10093.18
matrix_transpose,large,pytorch,"x:(16384,16384) fp16",7.9475,10611.31
matrix_transpose,large,triton,"x:(16384,16384) fp16",3.5148,10611.31
matrix_transpose,large,triton_tuned,"x:(16384,16384) fp16",3.5163,10603.18
matrix_transpose,large,tilelang,"x:(16384,16384) fp16",5.291,10603.18
matrix_transpose,large,tilelang_tuned,"x:(16384,16384) fp16",5.2831,10603.18
max_reduction,small,pytorch,"x:(1024,1024) dim=1 fp16",0.0133,10099.32
max_reduction,small,triton,"x:(1024,1024) dim=1 fp16",0.0402,10099.32
max_reduction,small,triton_tuned,"x:(1024,1024) dim=1 fp16",0.0399,10091.19
max_reduction,small,tilelang,"x:(1024,1024) dim=1 fp16",0.1496,10095.2
max_reduction,small,tilelang_tuned,"x:(1024,1024) dim=1 fp16",0.1496,10095.2
max_reduction,large,pytorch,"x:(8192,32768) dim=1 fp16",1.6158,10099.39
max_reduction,large,triton,"x:(8192,32768) dim=1 fp16",12.5679,10099.39
max_reduction,large,triton_tuned,"x:(8192,32768) dim=1 fp16",12.6129,10091.26
max_reduction,large,tilelang,"x:(8192,32768) dim=1 fp16",28.1226,11115.32
max_reduction,large,tilelang_tuned,"x:(8192,32768) dim=1 fp16",28.1154,11115.32
mean_reduction,small,pytorch,"x:(1024,1024) dim=1 fp32",0.0114,10099.31
mean_reduction,small,triton,"x:(1024,1024) dim=1 fp32",0.0262,10099.31
mean_reduction,small,triton_tuned,"x:(1024,1024) dim=1 fp32",0.0257,10091.19
mean_reduction,small,tilelang,"x:(1024,1024) dim=1 fp32",0.1348,10091.19
mean_reduction,small,tilelang_tuned,"x:(1024,1024) dim=1 fp32",0.1349,10091.19
mean_reduction,large,pytorch,"x:(8192,32768) dim=1 fp32",3.2125,10099.34
mean_reduction,large,triton,"x:(8192,32768) dim=1 fp32",3.2327,10099.34
mean_reduction,large,triton_tuned,"x:(8192,32768) dim=1 fp32",3.2339,10091.21
mean_reduction,large,tilelang,"x:(8192,32768) dim=1 fp32",20.1239,10091.21
mean_reduction,large,tilelang_tuned,"x:(8192,32768) dim=1 fp32",20.1142,10091.21
mul,small,pytorch,"x:(4096,) fp16",0.0083,10099.32
mul,small,triton,"x:(4096,) fp16",0.0199,10099.32
mul,small,triton_tuned,"x:(4096,) fp16",0.0198,10091.19
mul,small,tilelang,"x:(4096,) fp16",0.0229,10091.19
mul,small,tilelang_tuned,"x:(4096,) fp16",0.023,10091.19
mul,large,pytorch,"x:(64M,) fp16",0.894,10227.31
mul,large,triton,"x:(64M,) fp16",1.2809,10227.31
mul,large,triton_tuned,"x:(64M,) fp16",1.2832,10219.18
mul,large,tilelang,"x:(64M,) fp16",1.294,10219.18
mul,large,tilelang_tuned,"x:(64M,) fp16",1.2946,10219.18
relu,small,pytorch,"x:(4096,4096) fp16",0.2237,10131.31
relu,small,triton,"x:(4096,4096) fp16",0.2306,10131.31
relu,small,triton_tuned,"x:(4096,4096) fp16",0.2306,10123.18
relu,small,tilelang,"x:(4096,4096) fp16",0.3199,10123.18
relu,small,tilelang_tuned,"x:(4096,4096) fp16",0.3194,10123.18
relu,large,pytorch,"x:(16384,16384) fp16",3.5385,10611.31
relu,large,triton,"x:(16384,16384) fp16",3.4241,10611.31
relu,large,triton_tuned,"x:(16384,16384) fp16",3.4215,10603.18
relu,large,tilelang,"x:(16384,16384) fp16",5.1509,10603.18
relu,large,tilelang_tuned,"x:(16384,16384) fp16",5.1536,10603.18
rms_norm,small,pytorch,"x:(512,1024) w:(1024,) fp16",0.0453,10103.31
rms_norm,small,triton,"x:(512,1024) w:(1024,) fp16",0.0297,10100.31
rms_norm,small,triton_tuned,"x:(512,1024) w:(1024,) fp16",0.0287,10092.18
rms_norm,small,tilelang,"x:(512,1024) w:(1024,) fp16",1.8539,10096.19
rms_norm,small,tilelang_tuned,"x:(512,1024) w:(1024,) fp16",1.8496,10096.19
rms_norm,large,pytorch,"x:(8192,8192) w:(8192,) fp16",9.9766,10611.37
rms_norm,large,triton,"x:(8192,8192) w:(8192,) fp16",0.9081,10227.31
rms_norm,large,triton_tuned,"x:(8192,8192) w:(8192,) fp16",0.9081,10219.18
rms_norm,large,tilelang,"x:(8192,8192) w:(8192,) fp16",187.426,10731.21
rms_norm,large,tilelang_tuned,"x:(8192,8192) w:(8192,) fp16",187.5127,10731.21
softmax,small,pytorch,"x:(512,1024) fp16",0.0103,10100.31
softmax,small,triton,"x:(512,1024) fp16",0.021,10100.31
softmax,small,triton_tuned,"x:(512,1024) fp16",0.0215,10092.18
softmax,small,tilelang,"x:(512,1024) fp16",2.0458,10096.18
softmax,small,tilelang_tuned,"x:(512,1024) fp16",2.0739,10096.18
softmax,large,pytorch,"x:(4096,32768) fp16",1.7511,10355.31
softmax,large,triton,"x:(4096,32768) fp16",1.7945,10355.31
softmax,large,triton_tuned,"x:(4096,32768) fp16",1.792,10347.18
softmax,large,tilelang,"x:(4096,32768) fp16",8.7149,11115.18
softmax,large,tilelang_tuned,"x:(4096,32768) fp16",8.6987,11115.18
swiglu,small,pytorch,"xy:(512,8192) fp16",0.0415,10107.31
swiglu,small,triton,"xy:(512,8192) fp16",0.0366,10103.31
swiglu,small,triton_tuned,"xy:(512,8192) fp16",0.0367,10095.18
swiglu,small,tilelang,"xy:(512,8192) fp16",0.0447,10103.18
swiglu,small,tilelang_tuned,"xy:(512,8192) fp16",0.0438,10103.18
swiglu,large,pytorch,"xy:(4096,32768) fp16",3.4434,10355.31
swiglu,large,triton,"xy:(4096,32768) fp16",1.2957,10227.31
swiglu,large,triton_tuned,"xy:(4096,32768) fp16",1.2931,10219.18
swiglu,large,tilelang,"xy:(4096,32768) fp16",3.4285,10475.18
swiglu,large,tilelang_tuned,"xy:(4096,32768) fp16",3.4278,10475.18
