kernel,size,impl,input_desc,latency_ms,peak_memory_mb
logsumexp,small,triton,"x:(512,1024) fp32",0.0935,10379.19
logsumexp,small,triton_tuned,"x:(512,1024) fp32",0.0936,10347.19
logsumexp,small,tilelang,"x:(512,1024) fp32",0.0334,10091.19
logsumexp,small,tilelang_tuned,"x:(512,1024) fp32",0.0346,10347.19
logsumexp,large,pytorch,"x:(8192,16384) fp32",1.1724,10891.25
logsumexp,large,triton,"x:(8192,16384) fp32",0.2357,10379.31
logsumexp,large,triton_tuned,"x:(8192,16384) fp32",0.3492,10347.31
logsumexp,large,tilelang,"x:(8192,16384) fp32",0.6217,10091.21
logsumexp,large,tilelang_tuned,"x:(8192,16384) fp32",0.2642,10347.21
matmul,small,pytorch,"A:(512,512) B:(512,512) fp16",0.0155,10379.68
matmul,small,triton,"A:(512,512) B:(512,512) fp16",0.0269,10379.68
matmul,small,triton_tuned,"A:(512,512) B:(512,512) fp16",0.0317,10347.68
matmul,small,tilelang,"A:(512,512) B:(512,512) fp16",0.0339,10091.68
matmul,small,tilelang_tuned,"A:(512,512) B:(512,512) fp16",0.0332,10347.68
matmul,large,pytorch,"A:(16384,16384) B:(16384,16384) fp16",26.2277,10891.18
matmul,large,triton,"A:(16384,16384) B:(16384,16384) fp16",73.1432,10891.18
matmul,large,triton_tuned,"A:(16384,16384) B:(16384,16384) fp16",56.6351,10859.18
matmul,large,tilelang,"A:(16384,16384) B:(16384,16384) fp16",28.9469,10603.18
matmul,large,tilelang_tuned,"A:(16384,16384) B:(16384,16384) fp16",39.2686,10859.18
matrix_transpose,small,pytorch,"x:(1024,1024) fp16",0.0452,10381.18
matrix_transpose,small,triton,"x:(1024,1024) fp16",0.0389,10381.18
matrix_transpose,small,triton_tuned,"x:(1024,1024) fp16",0.0259,10349.18
matrix_transpose,small,tilelang,"x:(1024,1024) fp16",0.0282,10093.18
matrix_transpose,small,tilelang_tuned,"x:(1024,1024) fp16",0.0335,10349.18
matrix_transpose,large,pytorch,"x:(16384,16384) fp16",2.0689,10891.18
matrix_transpose,large,triton,"x:(16384,16384) fp16",0.5253,10891.18
matrix_transpose,large,triton_tuned,"x:(16384,16384) fp16",0.402,10859.18
matrix_transpose,large,tilelang,"x:(16384,16384) fp16",1.843,10603.18
matrix_transpose,large,tilelang_tuned,"x:(16384,16384) fp16",1.6543,10859.18
max_reduction,small,pytorch,"x:(1024,1024) dim=1 fp16",0.0219,10379.19
max_reduction,small,triton,"x:(1024,1024) dim=1 fp16",0.0412,10379.19
max_reduction,small,triton_tuned,"x:(1024,1024) dim=1 fp16",0.0407,10347.19
max_reduction,small,tilelang,"x:(1024,1024) dim=1 fp16",0.1322,10095.2
max_reduction,small,tilelang_tuned,"x:(1024,1024) dim=1 fp16",0.0945,10351.2
max_reduction,large,pytorch,"x:(8192,32768) dim=1 fp16",0.2784,10379.26
max_reduction,large,triton,"x:(8192,32768) dim=1 fp16",1.7793,10379.26
max_reduction,large,triton_tuned,"x:(8192,32768) dim=1 fp16",1.8307,10347.26
max_reduction,large,tilelang,"x:(8192,32768) dim=1 fp16",5.1182,11115.32
max_reduction,large,tilelang_tuned,"x:(8192,32768) dim=1 fp16",5.1771,11371.32
mean_reduction,small,pytorch,"x:(1024,1024) dim=1 fp32",0.0126,10379.19
mean_reduction,small,triton,"x:(1024,1024) dim=1 fp32",0.0315,10379.19
mean_reduction,small,triton_tuned,"x:(1024,1024) dim=1 fp32",0.0323,10347.19
mean_reduction,small,tilelang,"x:(1024,1024) dim=1 fp32",0.1004,10091.19
mean_reduction,small,tilelang_tuned,"x:(1024,1024) dim=1 fp32",0.0661,10347.19
mean_reduction,large,pytorch,"x:(8192,32768) dim=1 fp32",0.3478,10379.21
mean_reduction,large,triton,"x:(8192,32768) dim=1 fp32",0.6123,10379.21
mean_reduction,large,triton_tuned,"x:(8192,32768) dim=1 fp32",0.6132,10347.21
mean_reduction,large,tilelang,"x:(8192,32768) dim=1 fp32",4.3042,10091.21
mean_reduction,large,tilelang_tuned,"x:(8192,32768) dim=1 fp32",4.3418,10347.21
mul,small,pytorch,"x:(4096,) fp16",0.0098,10379.19
mul,small,triton,"x:(4096,) fp16",0.022,10379.19
mul,small,triton_tuned,"x:(4096,) fp16",0.0228,10347.19
mul,small,tilelang,"x:(4096,) fp16",0.0329,10091.19
mul,small,tilelang_tuned,"x:(4096,) fp16",0.0334,10347.19
mul,large,pytorch,"x:(64M,) fp16",0.0989,10507.18
mul,large,triton,"x:(64M,) fp16",0.1425,10507.18
mul,large,triton_tuned,"x:(64M,) fp16",0.1429,10475.18
mul,large,tilelang,"x:(64M,) fp16",0.1535,10219.18
mul,large,tilelang_tuned,"x:(64M,) fp16",0.1466,10475.18
relu,small,pytorch,"x:(4096,4096) fp16",0.0341,10411.18
relu,small,triton,"x:(4096,4096) fp16",0.0486,10411.18
relu,small,triton_tuned,"x:(4096,4096) fp16",0.04,10379.18
relu,small,tilelang,"x:(4096,4096) fp16",0.0505,10123.18
relu,small,tilelang_tuned,"x:(4096,4096) fp16",0.0509,10379.18
relu,large,pytorch,"x:(16384,16384) fp16",0.3635,10891.18
relu,large,triton,"x:(16384,16384) fp16",0.3711,10891.18
relu,large,triton_tuned,"x:(16384,16384) fp16",0.3766,10859.18
relu,large,tilelang,"x:(16384,16384) fp16",0.5323,10603.18
relu,large,tilelang_tuned,"x:(16384,16384) fp16",0.5328,10859.18
rms_norm,small,pytorch,"x:(512,1024) w:(1024,) fp16",0.0568,10383.19
rms_norm,small,triton,"x:(512,1024) w:(1024,) fp16",0.0328,10380.18
rms_norm,small,triton_tuned,"x:(512,1024) w:(1024,) fp16",0.0323,10348.18
rms_norm,small,tilelang,"x:(512,1024) w:(1024,) fp16",1.3035,10096.19
rms_norm,small,tilelang_tuned,"x:(512,1024) w:(1024,) fp16",0.5122,10352.19
rms_norm,large,pytorch,"x:(8192,8192) w:(8192,) fp16",1.2838,10891.25
rms_norm,large,triton,"x:(8192,8192) w:(8192,) fp16",0.1216,10507.18
rms_norm,large,triton_tuned,"x:(8192,8192) w:(8192,) fp16",0.1218,10475.18
rms_norm,large,tilelang,"x:(8192,8192) w:(8192,) fp16",159.3898,10731.21
rms_norm,large,tilelang_tuned,"x:(8192,8192) w:(8192,) fp16",41.6175,10987.21
softmax,small,pytorch,"x:(512,1024) fp16",0.0149,10380.18
softmax,small,triton,"x:(512,1024) fp16",0.0577,10380.18
softmax,small,triton_tuned,"x:(512,1024) fp16",0.025,10348.18
softmax,small,tilelang,"x:(512,1024) fp16",1.6448,10096.18
softmax,small,tilelang_tuned,"x:(512,1024) fp16",0.6274,10352.18
softmax,large,pytorch,"x:(4096,32768) fp16",0.3682,10635.18
softmax,large,triton,"x:(4096,32768) fp16",0.2286,10635.18
softmax,large,triton_tuned,"x:(4096,32768) fp16",0.2164,10603.18
softmax,large,tilelang,"x:(4096,32768) fp16",1.2742,11115.18
softmax,large,tilelang_tuned,"x:(4096,32768) fp16",1.5462,11371.18
swiglu,small,pytorch,"xy:(512,8192) fp16",0.0358,10387.18
swiglu,small,triton,"xy:(512,8192) fp16",0.041,10383.18
swiglu,small,triton_tuned,"xy:(512,8192) fp16",0.0421,10351.18
swiglu,small,tilelang,"xy:(512,8192) fp16",0.0606,10103.18
swiglu,small,tilelang_tuned,"xy:(512,8192) fp16",0.0614,10359.18
swiglu,large,pytorch,"xy:(4096,32768) fp16",0.5823,10635.18
swiglu,large,triton,"xy:(4096,32768) fp16",0.1713,10507.18
swiglu,large,triton_tuned,"xy:(4096,32768) fp16",0.2267,10475.18
swiglu,large,tilelang,"xy:(4096,32768) fp16",0.5435,10475.18
swiglu,large,tilelang_tuned,"xy:(4096,32768) fp16",1.5676,10731.18
